Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Country,City,Quantity
81,CA-2021-127208,10/12/2021,10/16/2021,First Class,JE-16165,Hua Thi Nhu,Viet Nam,Nghe An,1
82,CA-2021-139451,10/12/2021,10/16/2021,First Class,JE-16165,Ngu Donh Phung,Viet Nam,Ha Tinh,1
83,CA-2020-139451,9/3/2020,9/8/2020,Standard Class,JE-16165,Nguyen Thi Mai Phuong,Viet Nam,Quang Binh,1
84,CA-2021-149734,11/13/2021,11/16/2021,Standard Class,JE-16165,Phan Thi Phuong,Viet Nam,Quang Tri,1
85,US-2021-119662,5/28/2021,5/30/2021,Standard Class,TW-21025,Dinh Xuon Quang,Viet Nam,Tien Giang,1
86,CA-2021-140088,10/26/2021,11/2/2021,First Class,TW-21025,Nguyen Van Quang,Viet Nam,Tra Vinh,1
87,CA-2020-155558,10/26/2020,11/2/2020,Second Class,SP-20650,Lo Tro Quon,Viet Nam,Da Nang,1
88,CA-2020-155558,4/5/2020,4/10/2020,Standard Class,SP-20650,Nguyen Ngoc Son,Viet Nam,Quang Nam,1
89,CA-2020-159695,9/17/2020,9/22/2020,Standard Class,SP-20650,Doàn Phuong Thao,Viet Nam,Quang Ngai,1
90,CA-2021-109806,9/17/2021,9/22/2021,Second Class,NK-18490,Pham Thi Thu Thao,Viet Nam,Binh Dinh,1
91,CA-2021-109806,9/17/2021,9/22/2021,Standard Class,DB-13060,Lo Van Thang,Viet Nam,Phu Yen,1
92,CA-2020-109806,1/31/2020,2/5/2020,Standard Class,NP-18670,Lo Xuon Thang,Viet Nam,Ha Giang,1
93,CA-2021-149587,1/31/2021,2/5/2021,Standard Class,NP-18670,Vu Donh  Thinh,Viet Nam,Ninh Binh,1
94,CA-2020-149587,1/31/2020,2/5/2020,Second Class,TT-21070,Bui Thanh Tho,Viet Nam,Thai Binh,1
95,CA-2021-149587,11/6/2021,11/12/2021,Second Class,EM-13960,Hà Thi Thu,Viet Nam,Thai Binh,1
96,US-2021-109484,11/9/2021,11/11/2021,Second Class,RD-19900,Nguyen Thi Thu,Viet Nam,Ha Nam,1
97,CA-2020-161018,6/17/2020,6/20/2020,Standard Class,MJ-17740,Vu Duy Thuon,Viet Nam,Nghe An,1
98,CA-2020-157833,9/6/2020,9/11/2020,Second Class,BM-11140,Nguyen Van Thuy,Viet Nam,Hoa Binh,1
99,CA-2021-149223,8/29/2021,9/2/2021,First Class,BM-11140,Liou Van Thuyet,Viet Nam,Son La,1
100,CA-2021-158568,8/29/2021,9/2/2021,Standard Class,BM-11140,Hà Hua Thuong,Viet Nam,Dien Bien,1
101,CA-2021-158568,8/29/2021,9/2/2021,Standard Class,BM-11140,Nguyen Tien Thuong,Viet Nam,Thanh Hoa,1
102,CA-2020-158568,12/1/2020,12/4/2020,Standard Class,BM-11140,Dinh Viet Anh,Viet Nam,Nghe An,1
103,CA-2020-129903,11/13/2020,11/17/2020,Standard Class,BM-11140,Vi Thi Mai Anh,Viet Nam,Lao Cai,1
104,US-2020-156867,11/13/2020,11/17/2020,Second Class,BM-11140,Lo Thi Ngoc onh,Viet Nam,Yen Bai,1
105,US-2021-156867,11/13/2021,11/17/2021,Standard Class,CS-12130,Nguyen Duy Canh,Viet Nam,Quang Binh,1
106,US-2021-156867,11/23/2021,11/28/2021,Standard Class,CS-12130,Hung Huy Diep,Viet Nam,Quang Tri,1
107,CA-2020-119004,11/23/2020,11/28/2020,Standard Class,CS-12130,Hoàng Cho Dung,Viet Nam,Ha Noi,1
108,CA-2021-119004,11/23/2021,11/28/2021,Standard Class,JB-15400,Nguyen Huu Dai,Viet Nam,Ha Noi,1
109,CA-2020-119004,10/15/2020,10/20/2020,Standard Class,JB-15400,Lo Hai Dang,Viet Nam,Hau Giang,1
110,CA-2020-129476,12/25/2020,12/30/2020,Standard Class,SJ-20500,Bui Van Giang,Viet Nam,Kien Giang,1
111,CA-2020-146780,11/3/2020,11/10/2020,Standard Class,JE-15745,Nguyen Thi Hai,Viet Nam,Long An,1
112,CA-2021-128867,11/3/2021,11/10/2021,Standard Class,JE-15745,Hoang Thi Hien,Viet Nam,Soc Trang,1
113,CA-2020-128867,8/25/2020,8/27/2020,Standard Class,JK-15640,Ta Van Hua,Viet Nam,Tien Giang,1
114,CA-2020-115259,8/25/2020,8/27/2020,Standard Class,DK-13150,Nguyen Thi Hong,Viet Nam,Tra Vinh,1
115,CA-2020-115259,8/25/2020,8/27/2020,Second Class,DK-13150,Vu Thi Hong,Viet Nam,Da Nang,1
116,CA-2021-115259,8/25/2021,8/27/2021,Second Class,RM-19675,Hoàng Manh Hung,Viet Nam,Quang Nam,1
117,CA-2020-115259,3/2/2020,3/6/2020,Second Class,RM-19675,Tran Quoc Huy,Viet Nam,Ha Noi,1
118,CA-2020-110457,4/5/2020,4/10/2020,Second Class,RM-19675,Dang Thi Huyen,Viet Nam,Ho Chi Minh,1
119,US-2020-136476,6/12/2020,6/15/2020,Standard Class,SK-19990,Do Minh Khonh,Viet Nam,Ho Chi Minh,1
120,CA-2020-103730,6/12/2020,6/15/2020,Standard Class,FM-14290,Tran Thi Tuyet Linh,Viet Nam,Long An,1
121,CA-2021-103730,6/12/2021,6/15/2021,First Class,AM-10360,Pham Thi Luong,Viet Nam,Thai Nguyen,1
122,CA-2020-103730,6/12/2020,6/15/2020,First Class,AM-10360,Nguyen Hoai Nam,Viet Nam,Ninh Binh,1
123,CA-2020-103730,6/12/2020,6/15/2020,First Class,MP-17470,Dao Hang Nga,Viet Nam,Thai Binh,1
124,CA-2020-103730,12/26/2020,12/28/2020,First Class,MP-17470,Dinh Thi Lo Nga,Viet Nam,Thai Binh,1
125,US-2020-152030,9/20/2020,9/25/2020,First Class,MP-17470,Ung Sy Ngà,Viet Nam,Ha Nam,1
126,US-2020-134614,11/5/2020,11/12/2020,Second Class,MP-17470,Nguyen Van Nhan,Viet Nam,Nghe An,1
127,US-2020-107272,11/5/2020,11/12/2020,Standard Class,MP-17470,Le Van Phu,Viet Nam,Hoa Binh,1
128,US-2020-107272,11/6/2020,11/10/2020,Standard Class,MZ-17515,Nguyen Dai Quy,Viet Nam,Son La,1
129,US-2021-125969,11/6/2021,11/10/2021,Standard Class,CB-12025,Tran Van Quyen,Viet Nam,Dien Bien,1
130,US-2021-125969,2/2/2021,2/5/2021,Second Class,CB-12025,Nguyen Tuan Son,Viet Nam,Thanh Hoa,1
131,US-2020-164147,2/2/2020,2/5/2020,Second Class,VM-21685,Tran Donh Thành,Viet Nam,Hau Giang,1
132,US-2020-164147,2/2/2020,2/5/2020,First Class,FH-14365,Tran Van Tho,Viet Nam,Kien Giang,1
133,US-2021-164147,10/13/2021,10/19/2021,First Class,FH-14365,Vu Thi Thuy,Viet Nam,Long An,1
134,CA-2020-145583,10/13/2020,10/19/2020,First Class,MB-17305,Luong Manh Tiep,Viet Nam,Ho Chi Minh,1
135,CA-2020-145583,10/13/2020,10/19/2020,Standard Class,BS-11755,Vu Van Toan,Viet Nam,Ba Ria Vung Tau,1
136,CA-2021-145583,10/13/2021,10/19/2021,Standard Class,BS-11755, Truong Thi Ngoc Trang,Viet Nam,Binh Duong,1
137,CA-2021-145583,10/13/2021,10/19/2021,Standard Class,LC-17140,Dinh Ngoc Trung,Viet Nam,Nghe An,1
138,CA-2020-145583,10/13/2020,10/19/2020,Standard Class,HK-14890,Bui Thanh Tung,Viet Nam,Ha Tinh,1
139,CA-2020-145583,10/13/2020,10/19/2020,Standard Class,LE-16810,Luong Ngoc Tung,Viet Nam,Quang Binh,1
140,CA-2020-145583,9/5/2020,9/7/2020,Standard Class,JH-15985,Nguyen Van Tung,Viet Nam,Quang Tri,1
141,CA-2021-110366,9/18/2021,9/23/2021,Standard Class,JH-15985,Tran Van Tuyen,Viet Nam,Tien Giang,1
142,CA-2021-106180,9/18/2021,9/23/2021,Second Class,JH-15985,Tran Van Tuong,Viet Nam,Tra Vinh,1
143,CA-2021-106180,9/18/2021,9/23/2021,Standard Class,JH-15985,Bui Dai Viet,Viet Nam,Da Nang,1
144,CA-2020-106180,12/22/2020,12/27/2020,Standard Class,JH-15985,Duong Tuan Vu,Viet Nam,Quang Nam,1
145,CA-2020-155376,9/7/2020,9/12/2020,Standard Class,MS-17980,Nguyen Thanh Son,Viet Nam,Quang Ngai,1
146,CA-2021-110744,10/22/2021,10/28/2021,Standard Class,VW-21775,Nguyen Duc Tien,Viet Nam,Binh Dinh,1
147,CA-2021-110072,12/5/2021,12/9/2021,Standard Class,VW-21775,Vu Van Tu,Viet Nam,Phu Yen,1
148,CA-2020-114489,12/5/2020,12/9/2020,Standard Class,VW-21775,Do Huy Hoàng,Viet Nam,Ha Giang,1
149,CA-2020-114489,12/5/2020,12/9/2020,Standard Class,VW-21775,Lo Xuon Tung,Viet Nam,Ninh Binh,1
150,CA-2021-114489,12/5/2021,12/9/2021,Standard Class,VW-21775,Phan Tien Duong,Viet Nam,Thai Binh,1
151,CA-2020-114489,3/13/2020,3/16/2020,Standard Class,JH-15910,Duong Son Tung,Viet Nam,Thai Binh,1
152,CA-2020-158834,3/13/2020,3/16/2020,Standard Class,JH-15910,Lo Tuan Anh,Viet Nam,Long An,1
153,CA-2021-158834,5/31/2021,6/2/2021,First Class,JB-15925,Nguyen Ngoc Cuong,Viet Nam,Soc Trang,1
154,CA-2020-124919,5/31/2020,6/2/2020,First Class,JB-15925,Nguyen Van Du,Viet Nam,Tien Giang,1
155,CA-2021-124919,5/31/2021,6/2/2021,First Class,JB-15925,Nguyen Thi Duyon,Viet Nam,Tra Vinh,1
156,CA-2020-124919,5/28/2020,6/3/2020,First Class,FM-14380,Dao Duy Han,Viet Nam,Da Nang,1
157,CA-2020-118948,3/1/2020,3/6/2020,First Class,FM-14380,Ngo Van Hiep,Viet Nam,Quang Nam,1
158,CA-2020-104269,11/20/2020,11/24/2020,Standard Class,FM-14380,Nguyen Cung Hoan,Viet Nam,Quang Ngai,1
159,CA-2021-114104,11/20/2021,11/24/2021,Second Class,BD-11605,Nguyen Khac Hoàn,Viet Nam,Binh Dinh,1
160,CA-2021-114104,5/11/2021,5/12/2021,Standard Class,BD-11605,Nghiom Xuon Hoàng,Viet Nam,Phu Yen,1
161,CA-2020-162733,12/28/2020,12/31/2020,Standard Class,DJ-13420,Nguyen Thi Hue,Viet Nam,Ha Giang,1
162,CA-2020-119697,11/16/2020,11/20/2020,First Class,ME-17725,Ngu Tro Hung,Viet Nam,Tuyen Quang,1
163,CA-2020-154508,11/7/2020,11/11/2020,Second Class,ME-17725,Chu Van Huynh,Viet Nam,Cao Bang,1
164,CA-2020-113817,9/8/2020,9/12/2020,Standard Class,RB-19465,Truong Van Ky,Viet Nam,Bac Kan,1
165,CA-2021-139892,9/8/2021,9/12/2021,Standard Class,RB-19465,Nguyen Van Liem,Viet Nam,Quang Ngai,1
166,CA-2020-139892,9/8/2020,9/12/2020,Standard Class,JD-16150,Nguyen Dang Long,Viet Nam,Binh Dinh,1
167,CA-2020-139892,9/8/2020,9/12/2020,Standard Class,JL-15835,Tran Van Luu,Viet Nam,Phu Yen,1
168,CA-2020-139892,9/8/2020,9/12/2020,Standard Class,JL-15835,Le Van Ngoc,Viet Nam,Ha Giang,1
169,CA-2021-139892,9/8/2021,9/12/2021,Standard Class,SC-20305,Vu Thi Nhom,Viet Nam,Ninh Binh,1
170,CA-2020-139892,9/8/2020,9/12/2020,Standard Class,TW-21025,Vu Ngoc Ninh,Viet Nam,Thai Binh,1
171,CA-2020-139892,8/5/2020,8/9/2020,Standard Class,CC-12430,Lo Xuon Phoo,Viet Nam,Thai Binh,1
172,CA-2021-118962,8/5/2021,8/9/2021,Standard Class,BB-10990,Nguyen Van Phuc,Viet Nam,Long An,1
173,CA-2020-118962,8/5/2020,8/9/2020,Standard Class,BB-10990,Dieu Viet Phuong,Viet Nam,Soc Trang,1
174,CA-2021-118962,9/14/2021,9/19/2021,Standard Class,AR-10825,Hà Hong Phuong,Viet Nam,Tien Giang,1
175,US-2020-100853,9/14/2020,9/19/2020,Standard Class,AR-10825,Hoàng Thuy Phuong,Viet Nam,Tra Vinh,1
176,US-2020-100853,4/21/2020,4/25/2020,Standard Class,AR-10825,Nguyen Hong Quang,Viet Nam,Da Nang,1
177,US-2020-152366,11/21/2020,11/23/2020,Standard Class,SR-20740,Nguyen Vu  Quoc,Viet Nam,Quang Nam,1
178,US-2020-101511,11/21/2020,11/23/2020,Second Class,AR-10405,Nguyen Donh Thoi,Viet Nam,Quang Ngai,1
179,US-2021-101511,12/15/2021,12/19/2021,Second Class,AR-10405,Nguyen Van Thanh,Viet Nam,Binh Dinh,1
180,CA-2020-137225,12/5/2020,12/9/2020,Second Class,CR-12730,Pham Ngoc Thành,Viet Nam,Phu Yen,1
181,CA-2021-166191,12/5/2021,12/9/2021,Standard Class,CR-12730,Hoang Van Thao,Viet Nam,Nghe An,1
182,CA-2021-166191,11/19/2021,11/24/2021,Second Class,CR-12730,Pham Van Thuan,Viet Nam,Ha Tinh,1
183,CA-2021-158274,11/19/2021,11/24/2021,Second Class,EH-14125,Nguyen Duc Toan,Viet Nam,Quang Binh,1
184,CA-2020-158274,11/19/2020,11/24/2020,Second Class,EH-14125,Lo The Trinh,Viet Nam,Quang Tri,1
185,CA-2020-158274,11/28/2020,12/2/2020,Second Class,CB-12025,Nguyen Duy Truong,Viet Nam,Tien Giang,1
186,CA-2020-105018,8/26/2020,8/30/2020,Second Class,CB-12025,Nguyen Van Truong,Viet Nam,Tra Vinh,1
187,CA-2020-123260,7/16/2020,7/22/2020,Standard Class,CB-12025,Cao Van Tuan,Viet Nam,Da Nang,1
188,CA-2020-157000,7/16/2020,7/22/2020,Standard Class,CB-12025,Nguyen Oanh Viet,Viet Nam,Quang Nam,1
189,CA-2021-157000,10/12/2021,10/14/2021,Standard Class,SP-20545,Nguyen Thion Chinh,Viet Nam,Quang Ngai,1
190,CA-2020-102281,10/12/2020,10/14/2020,Standard Class,RC-19825,Phan Cung Chonh,Viet Nam,Binh Dinh,1
191,CA-2021-102281,10/12/2021,10/14/2021,First Class,TH-21235,Ngu Xuon Chung,Viet Nam,Phu Yen,1
192,CA-2021-102281,10/12/2021,10/14/2021,Standard Class,TH-21235,Cao Cuong,Viet Nam,Ha Giang,1
193,CA-2020-102281,10/12/2020,10/14/2020,Standard Class,TH-21235,Nguyen Danh Cuong,Viet Nam,Ninh Binh,1
194,CA-2020-102281,10/31/2020,11/6/2020,Standard Class,RP-19390,Nguyen Thi Dung,Viet Nam,Thai Binh,1
195,CA-2020-131457,3/21/2020,3/25/2020,Standard Class,MO-17800,Nguyen Thi Dung,Viet Nam,Thai Binh,1
196,CA-2020-140004,3/21/2020,3/25/2020,Standard Class,MO-17800,Pham Tuan Dung,Viet Nam,Long An,1
197,CA-2021-140004,11/6/2021,11/13/2021,Standard Class,MO-17800,Nguyen Thoi Duy,Viet Nam,Dien Bien,1
198,CA-2020-107720,7/6/2020,7/13/2020,Standard Class,TD-20995,Tran Van Ha,Viet Nam,Thanh Hoa,1
199,US-2021-124303,9/5/2021,9/7/2021,Standard Class,RB-19570,Lo Xuon Hiep,Viet Nam,Nghe An,1
200,HD-2021-108987,9/5/2021,9/7/2021,First Class,RB-19570,Tran Van Hiep,Viet Nam,Lao Cai,1
201,BL-2021-108987,3/20/2021,3/25/2021,First Class,RB-19570,Nguyen The Hoàng,Viet Nam,Yen Bai,1
202,LC-2021-108987,4/1/2021,4/3/2021,First Class,CD-11980,Vu Van Hoang,Viet Nam,Quang Binh,1
203,TN-2021-113166,4/1/2021,4/3/2021,First Class,CD-11980,Do Van Huan,Viet Nam,Quang Tri,1
204,NB-2021-155208,4/1/2021,4/3/2021,First Class,CD-11980,Lo Xuon Huy,Viet Nam,Ha Noi,1
205,BK-2021-117933,4/1/2021,4/3/2021,Standard Class,CD-11980,Nguyen Thi Huyen,Viet Nam,Ha Noi,1
206,CM-2021-117457,4/1/2021,4/3/2021,Second Class,DJ-13630,Lo Manh Khonh,Viet Nam,Hau Giang,1
207,KG-2021-117457,4/1/2021,4/3/2021,Standard Class,DJ-13630,Ngu Trung Kion,Viet Nam,Kien Giang,1
208,TB-2021-117457,10/20/2021,10/24/2021,Second Class,DJ-13630,Lo Xuon Lom,Viet Nam,Long An,1
209,ND-2021-117457,10/20/2021,10/24/2021,Second Class,GT-14635,Nguyen Son Lam,Viet Nam,Soc Trang,1
210,HD-2021-117457,12/13/2021,12/17/2021,Second Class,GT-14635,Doan Van Linh,Viet Nam,Tra Vinh,1
211,HY-2021-117457,2/12/2021,2/18/2021,First Class,MC-17845,Nguyen Bo Manh,Viet Nam,Da Nang,1
212,DB-2021-117457,9/26/2021,10/1/2021,Standard Class,MC-17845,Nguyen Ngoc Minh,Viet Nam,Quang Nam,1
213,LS-2020-117457,9/26/2020,10/1/2020,Standard Class,MC-17845,Tran Dang Nam,Viet Nam,Quang Ngai,1
214,BG-2021-117457,12/15/2021,12/22/2021,Standard Class,RA-19285,Nguyen Thua Nguyen,Viet Nam,Binh Dinh,1
215,BN-2021-142636,12/15/2021,12/22/2021,Standard Class,NP-18325,Hoang Duc Anh,Viet Nam,Phu Yen,1
216,BT-2021-142636,12/15/2021,12/22/2021,Standard Class,NP-18325,Luu Trang Anh,Viet Nam,Ha Giang,1
217,BD-2021-122105,4/22/2021,4/29/2021,Standard Class,NP-18325,Pham Hoang Anh,Viet Nam,Ninh Binh,1
